Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2429,3111,56.59666099999999,0.2,53.91371130943298
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2429,3120,56.59666099999999,0.2,54.043726682662964
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2431,3065,56.59666099999999,0.2,54.19744944572449
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2435,3054,56.59666099999999,0.2,54.344594955444336
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2435,3129,56.59666099999999,0.2,54.4669668674469
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2438,3139,56.59666099999999,0.2,54.6422393321991
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2441,3044,56.59666099999999,0.2,54.76765155792236
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2445,3148,56.59666099999999,0.2,54.93039035797119
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2452,3034,56.59666099999999,0.2,55.13092517852783
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2458,3158,56.59666099999999,0.2,55.34704399108887
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2463,3167,56.59666099999999,0.2,55.53406119346619
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2465,3024,56.59666099999999,0.2,55.66309881210327
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2470,3176,56.59666099999999,0.2,55.86362028121948
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1160,1210,2475,3014,56.59666099999999,0.2,56.032955169677734
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4319,1553,56.59666099999999,0.2,61.83039975166321
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4321,1542,56.59666099999999,0.2,62.03789830207825
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4324,1509,56.59666099999999,0.2,62.222769260406494
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4324,1524,56.59666099999999,0.2,62.40763998031616
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4324,1562,56.59666099999999,0.2,62.57037138938904
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4327,1571,56.59666099999999,0.2,62.75524878501892
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4335,1498,56.59666099999999,0.2,62.94011330604553
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4339,1487,56.59666099999999,0.2,63.1876437664032
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4348,1477,56.59666099999999,0.2,63.37268114089966
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4350,1580,56.59666099999999,0.2,63.52642869949341
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4354,1467,56.59666099999999,0.2,63.71408557891846
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4362,1456,56.59666099999999,0.2,63.91197657585144
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4377,1446,56.59666099999999,0.2,64.15936708450317
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4398,1436,56.59666099999999,0.2,64.52905440330505
